scenario_id,scenario_suite,scenario_group,pv_year,demand_year,price_year,ssr_target,ssr_target_pct,mip_gap_used,grid_to_bess_charging_allowed,bo_tac_eur,bo_bess_kwh,bo_achieved_ssr,bo_solver_status,bo_solve_elapsed_s,bo_best_bound_eur,bo_achieved_relative_gap,hyb_tac_eur,hyb_bess_kwh,hyb_ely_kw,hyb_fc_kw,hyb_tank_kg,hyb_h2_installed,hyb_achieved_ssr,hyb_solver_status,hyb_solve_elapsed_s,hyb_best_bound_eur,hyb_achieved_relative_gap,tac_delta_eur,tac_saving_pct
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.63,63,0.0001,False,1942.6183635302496,28.897277643177453,0.6299999999999997,optimal,9.30264925956726,1942.6183635302496,0.0,1942.618363530312,28.897277643177613,0.0,0.0,0.0,False,0.6300000000000001,optimal,20.48030662536621,1942.618363530272,2.0951046622649442e-14,-6.230038707144557e-11,-3.2070317176570576e-12
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.64,64,0.0001,False,2011.4552220819949,32.404036317850114,0.6399999999999997,optimal,9.73316216468811,2011.4552220819933,9.043151364130676e-16,2011.455223222049,32.40403631785043,0.0,0.0,0.0,False,0.6400000000000006,optimal,22.573965549469,2011.4552232220303,1.0286584670868396e-14,-1.1400541097827954e-06,-5.667807551802026e-08
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.65,65,0.0001,False,2090.531456831236,36.09158373569206,0.6499999999999996,optimal,9.392255783081056,2090.5314568312315,1.5226900536719482e-15,2090.531457971292,36.09158373569243,0.0,0.0,0.0,False,0.6500000000000006,optimal,22.26130771636963,2090.531457971276,7.613450264207797e-15,-1.1400561561458744e-06,-5.453427416365872e-08
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.66,66,0.0001,False,2177.893619809017,39.895832054176566,0.6599999999999995,optimal,9.23552107810974,2177.893619809017,0.0,2177.8936209490653,39.895832054176616,0.0,0.0,0.0,False,0.6599999999999997,optimal,21.215699195861816,2177.893620949044,1.0231271159941496e-14,-1.1400484254409091e-06,-5.234637794388149e-08
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.67,67,0.0001,False,2277.801081646454,43.91887905221815,0.6699999999999997,optimal,9.156699895858765,2277.801081646444,4.392148989704904e-15,2277.801082786498,43.91887905221802,0.0,0.0,0.0,False,0.6699999999999995,optimal,23.031501293182373,2277.801082786484,5.989294073872672e-15,-1.1400438779674005e-06,-5.005019477571533e-08
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.68,68,0.0001,False,2394.972287624349,48.29810259338359,0.6799999999999996,optimal,9.06086564064026,2394.9722876243486,0.0,2394.9722887644057,48.29810259338392,0.0,0.0,0.0,False,0.6800000000000004,optimal,21.314095973968502,2394.9722887643875,7.405157365608551e-15,-1.1400566108932253e-06,-4.76020794388433e-08
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.69,69,0.0001,False,2532.5212335625383,53.07564194252635,0.6899999999999995,optimal,9.139765977859495,2532.5212335625392,0.0,2532.5212347025936,53.0756419425266,0.0,0.0,0.0,False,0.69,optimal,20.63570022583008,2532.5212347025754,7.541649987181419e-15,-1.1400552466511726e-06,-4.5016611570416674e-08
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.7,70,0.0001,False,2693.544362767685,58.36412380658801,0.6999999999999996,optimal,9.55727481842041,2693.544362767687,0.0,2693.544363907748,58.36412380658853,0.0,0.0,0.0,False,0.7000000000000005,optimal,21.38994264602661,2693.544363907731,6.753144399325567e-15,-1.1400634321034886e-06,-4.2325771495073686e-08
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.71,71,0.0001,False,2882.9398765746173,63.971810941643646,0.7099999999999995,optimal,8.95685338973999,2882.9398765746173,3.154747378407175e-16,2882.939877714671,63.97181094164384,0.0,0.0,0.0,False,0.7099999999999997,optimal,25.703888416290283,2882.9398777146525,6.782706860893217e-15,-1.14005388240912e-06,-3.9544837257018415e-08
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.72,72,0.0001,False,3133.7969899244977,70.73540624051367,0.7199999999999994,optimal,9.359245538711548,3133.7969899244995,0.0,3133.796991064569,70.73540624051434,0.0,0.0,0.0,False,0.7200000000000002,optimal,23.50427770614624,3133.796991064546,7.835975660799621e-15,-1.1400711628084537e-06,-3.637986654763879e-08
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.73,73,0.0001,False,3462.013207754827,79.52148881174114,0.7299999999999998,optimal,9.152064085006714,3462.0132077548287,0.0,3460.949603064033,77.18323876271786,0.3263406771174719,0.1123287067675894,0.2813681521406978,True,0.7300000000000002,optimal,26.133374452590942,3460.948179193094,4.114104811349245e-07,1.0636046907934542,0.0307221442255334
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.74,74,0.0001,False,3863.841634465761,89.92389119737106,0.7399999999999999,optimal,8.857431888580322,3863.841634465763,0.0,3826.306540874627,80.91224935470619,1.2074819604652551,0.3999469594456207,1.0195224869281558,True,0.7400000000000002,optimal,26.84859275817871,3826.292100386947,3.774001776172309e-06,37.53509359113423,0.9714449281854188
SC00_baseline_pv2018,ofat,baseline,2018,2024,2024,0.75,75,0.0001,False,4341.725604054992,101.80576382655128,0.7500000000000001,optimal,8.771024703979492,4341.725604054993,0.0,4226.494473608297,82.1941190898081,2.605803750034011,0.8078497897405839,2.231873240673069,True,0.7500000000000004,optimal,28.53530764579773,4226.309119355294,4.385531654207551e-05,115.2311304466948,2.6540399130491736
